Checklist Item,JAMA Item Number,Requirement,Current State,Evidence Location,Gap Description,Remediation Action,Owner,Priority,Target Date,Status
Data Center Physical Access Control,Physical-01,Restrict access to server room with controlled entry (badge/lock/escort),"Anyone can enter server room","Physical site observation","No controlled entry system, no escort policy","Install badge access or mechanical locks; enforce escort policy; maintain visitor log","Facilities / IT Ops",High,,Open
CCTV Monitoring,Physical-02,24x7 CCTV covering entry/exit and server racks,"No CCTV monitoring","Physical site observation","No CCTV cameras or recordings","Install CCTV cameras with 90-day retention; integrate with evidence index; define access controls","Facilities / Security",High,,Open
Environmental Monitoring - AC Temp Alarm,Physical-03,Environmental sensors and alarms (temperature/humidity) with alerting,"No AC temp alarm","Physical site observation","No temperature/humidity sensors or alarms","Install environmental sensors with alerting to IT Ops; configure thresholds and escalation","Facilities / IT Ops",High,,Open
Backup Media Locker / Secure Storage,Physical-04,Lockable, access-controlled storage for backup media (Server Closet),"No locker system for backup","Physical site observation","Backup media stored unsecured in Server Closet","Provide lockable cabinet or safe with restricted access; log access; encrypt offline backups","IT Ops / Facilities",High,,Open
Asset Movement Control / Chain-of-Custody,Physical-05,Formal process for asset checkout/movement with approvals and logs,"No asset movement control","CMDB / physical inventory","No movement/checkout records; no chain-of-custody for backups or devices","Implement asset movement form/process, badges for checkout, and update CMDB on movement; require approvals","IT Ops / Asset Owner",High,,Open
Role-based Access Control (Physical/Logical),Access-01,Enforce role-based access for systems and physical areas,"Role-based access not enforced","AD groups / access lists","Generic admin accounts; no RBAC for server room or systems","Define roles and RBAC; map AD groups to least-privilege roles; remove generic accounts","CISO / IT Ops",High,,Open
Visitor Log & Escort Policy,Physical-06,Maintain visitor log and require escorts in secure areas,"No visitor log or escort policy","Physical site observation","Visitors untracked and sometimes unsupervised","Implement visitor sign-in, photo ID capture, and mandatory escort policy for server room","Facilities / Security",Medium,,Open
Power Redundancy & UPS Monitoring,Infra-01,UPS and generator monitoring with alarms and test records,"Unknown / partial","Server Closet records","UPS exists but monitoring/test logs missing","Implement UPS monitoring, test generator, record maintenance; add alerts to IT Ops","Facilities / IT Ops",Medium,,Open
Fire Detection & Suppression,Infra-02,Fire detection and suppression (FM200/clean agent) in server area,"Unknown / partial","Physical inspection","No clean agent suppression or regular test records","Install or validate fire suppression system; schedule periodic tests and logs","Facilities / Health & Safety",High,,Open
Rack/Server Physical Locks,Physical-07,Lockable racks and restricted access to server hardware,"No rack locks","Physical site observation","Server racks unlocked and accessible","Install rack locks and maintain access list; use tamper-evident seals","IT Ops / Facilities",Medium,,Open
Cabling & Network Segregation Physical Control,Infra-03,Physical separation and labeling of critical cabling routes,"Cabling present but unlabeled","Network closet observation","Unlabeled patching; potential unauthorized changes","Label all critical cables, produce cabling diagram, restrict patch panel access","Network Admin / IT Ops",Medium,,Open
Backup Media Encryption & Access,Data-01,Offline backup encryption and separate backup admin credentials,"Backups exist but admin creds not separated","SOP-Backup-Recovery; Server Closet","Single creds for backup management; media not encrypted?","Encrypt offline backups; implement separate backup admin account and MFA; store credentials in vault","Backup Admin / IT Ops",High,,Open
Immutability / WORM for Backups,Data-02,Implement immutable backup storage or WORM to prevent ransomware tampering,"Not implemented","Backup system configs","Backups can be modified if credentials compromised","Deploy immutable storage or cloud WORM; isolate backup network access","Backup Admin / IT Ops",High,,Open
CMDB Completeness & Asset Tags,Asset-01,CMDB populated with OS versions, EOL, AD computer mapping and asset tags,"CMDB incomplete","SIP-AM-004; checklist_gap.csv","Missing OS/EOL and AD mapping for ~90 endpoints and servers","Complete CMDB with asset tags and AD computer names; schedule quarterly reconciliation","IT Ops / Asset Owner",High,,Open
Patch Management Coverage,Tech-01,Automated patching and weekly compliance reporting for endpoints and servers,"Patch process exists but coverage unknown","Patch management reports (pending)","No full coverage report for ~90 endpoints; server patches not fully tracked","Run asset discovery for patching, produce weekly compliance report, remediate exceptions","IT Ops / Security Ops",High,,Open
Privileged Account Management (AD),Access-02,Privileged account handling, password vaulting, MFA for admin accounts,"AD admins present; MFA for critical systems referenced but not confirmed","AD logs; Sophos admin configs","No documented PAM or vault; potential shared creds","Implement PAM or use credential vault; enforce MFA for all admin accounts; remove shared creds","CISO / AD Admin",High,,Open
MFA Coverage,Access-03,MFA enabled for all remote/admin access and critical systems (Sophos, AD),"MFA for critical systems referenced; coverage not validated","AD / Sophos configs","MFA may not be enabled for all admin/service access","Validate MFA enforcement; roll out MFA for all admins and remote VPN users","IT Ops / Security",High,,Open
Network Segmentation & DMZ Controls,Net-01,VLANs separating DMZ (public web), servers, management, endpoints; firewall rules reviewed,"VLANs present; DMZ hosts public web server behind Sophos","SIP-NET-006; network diagrams","Firewall rule review and DMZ hardening not documented","Document VLAN map and firewall rule review; perform penetration test on public web server; restrict management access to DMZ","Network Admin / IT Ops",High,,Open
Sophos Coverage & Rulebase Export,Net-02,Sophos endpoint & firewall full coverage; rulebase export and IDS/IPS tuning documented,"Sophos in use; rulebase export pending","Sophos Central","No exported rulebase or IDS tune report available for auditors","Export rulebase, IDS/IPS settings, update history; document Sophos coverage for ~90 endpoints","Sophos Admin / IT Ops",Medium,,Open
Centralized Logging & Log Retention,Logging-01,Central log server retention (90 days+), alerting for critical events,"Central logging plan exists but retention not confirmed","Logging server (pending)","Logs not centralized/retention policy unclear","Deploy central logging (SIEM or log server), set retention 90 days, configure critical alerts","Security Ops / IT Ops",High,,Open
Restore Test Records & MTTR,BCP-01,Quarterly restore tests for critical systems with documented MTTR,"No restore tests executed yet","SOP-BR-005","Restore tests missing for AD, web, file server","Schedule and execute quarterly restores; document MTTR and issues; attach reports to evidence index","IT Ops / Backup Admin",High,,Open
Incident Response Drills,IR-01,Tabletop and live drills semi-annually; document actions and improvements,"No incident drills executed yet","SIP-IR-003","CSIRT tabletop/exercise not done","Conduct semi-annual tabletop exercises (AD compromise, web deface, ransomware); record lessons learned","CSIRT Commander / CISO",High,,Open
Vendor Contract & SLA Reviews,Vendor-01,Annual review of Sophos and ISP contracts covering incident cooperation and response SLAs,"Vendor contracts exist but annual review not documented","Vendor file area","Incident cooperation clauses and contact validation not recent","Review and update Sophos and ISP contracts for incident response clauses; maintain contact list","Procurement / CISO",Medium,,Open
Access Logging for Server Room,Physical-08,Automated access logs for server room (badge/CCTV correlation),"No access logging","Physical site observation","No logs to prove who accessed room and when","Implement badge access and link to CCTV logs; maintain access logs for 1 year","Facilities / Security",High,,Open
Change Management & CAB,Process-01,Formal change control, approvals, and rollbacks for server/network changes,"Ad-hoc changes observed","Change records (pending)","No formal change control or CAB minutes","Implement change request process and CAB reviews, keep configuration backups","IT Ops / Change Manager",Medium,,Open
Encryption at Rest & In Transit,Data-03,Encryption for sensitive data on servers and during transport,"Encryption policy referenced; implementation not fully documented","SIP-ISP-001; server configs","Unclear which datasets are encrypted at rest; TLS for web pending validation","Validate and document encryption at rest for sensitive shares and TLS for web; apply where missing","IT Ops / Security",High,,Open
Physical Security Signage and Awareness,Physical-09,Signage indicating restricted area and security rules posted at server room entry,"No signage observed","Physical site observation","No visual deterrence or legal notice","Install restricted area signage and visitor rules at entry points","Facilities",Low,,Open
Security Awareness Completion Records,HR-01,Training completion records for annual e-learning and phishing for ~90 endpoints,"Training program defined but not executed","SIP-TRN-007","No completion records for staff training","Deliver initial training and phishing simulation; retain completion certificates in HR/LMS","HR / IT",High,,Open
